goos: windows
goarch: amd64
pkg: github.com/shengyanli1982/go-loadbalancer/lb
cpu: 12th Gen Intel(R) Core(TM) i5-12400F
BenchmarkConcurrent_RoundRobin-12                 	65225898	        18.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrent_Random-12                     	1000000000	         1.162 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrent_WeightedRR-12                 	23721602	        44.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrent_SmoothWeightedRR-12           	 6944058	       173.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrent_LeastConn-12                  	15794773	        74.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrent_P2C-12                        	100000000	        11.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrent_LeastConn_SelectRelease-12    	12065648	        99.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrent_P2C_SelectRelease-12          	67006538	        16.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrent_RingHash-12                   	24095466	        53.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrent_Maglev-12                     	24479904	        46.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrent_EDF-12                        	12817636	        94.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrent_Rendezvous-12                 	20214679	        59.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrent_LeastTime-12                  	 3488082	       349.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrent_ARB-12                        	12336945	        98.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrent_IPHash-12                     	1000000000	         1.093 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrent_URIHash-12                    	1000000000	         1.219 ns/op	       0 B/op	       0 allocs/op
BenchmarkEDF-12                                   	17516559	        69.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkEDF_Ext/10_backends-12                   	55655270	        22.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkEDF_Ext/50_backends-12                   	20094510	        59.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkEDF_Ext/100_backends-12                  	17501078	        69.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkEDF_Ext/500_backends-12                  	13100593	        92.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkEDF_Ext/1000_backends-12                 	12106646	       101.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkRoundRobin-12                            	251534938	         4.715 ns/op	       0 B/op	       0 allocs/op
BenchmarkRoundRobin_Ext/10_backends-12            	251322216	         4.740 ns/op	       0 B/op	       0 allocs/op
BenchmarkRoundRobin_Ext/50_backends-12            	253704025	         4.703 ns/op	       0 B/op	       0 allocs/op
BenchmarkRoundRobin_Ext/100_backends-12           	255604609	         4.699 ns/op	       0 B/op	       0 allocs/op
BenchmarkRoundRobin_Ext/500_backends-12           	248041761	         4.715 ns/op	       0 B/op	       0 allocs/op
BenchmarkRoundRobin_Ext/1000_backends-12          	252979038	         4.747 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandom-12                                	172527993	         6.956 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandom_Ext/10_backends-12                	173003246	         6.941 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandom_Ext/50_backends-12                	176481306	         6.935 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandom_Ext/100_backends-12               	168816520	         6.975 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandom_Ext/500_backends-12               	173650126	         6.805 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandom_Ext/1000_backends-12              	159575146	         6.760 ns/op	       0 B/op	       0 allocs/op
BenchmarkWeightedRR-12                            	78254914	        15.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkSmoothWeightedRR-12                      	 8591077	       144.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkLeastConn-12                             	20474355	        52.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkP2C-12                                   	51067524	        23.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkIPHash-12                                	208901500	         5.671 ns/op	       0 B/op	       0 allocs/op
BenchmarkURIHash-12                               	189002689	         6.659 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingHash_Select-12                       	14301513	        83.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingHash_Select_Ext/10_backends-12       	17982106	        67.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingHash_Select_Ext/50_backends-12       	14215735	        82.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingHash_Select_Ext/100_backends-12      	13401786	        92.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingHash_Select_Ext/500_backends-12      	10332454	       110.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingHash_Select_Ext/1000_backends-12     	 8395525	       133.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMaglev-12                                	57289326	        20.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingHash_SelectByHash-12                 	51905359	        22.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingHash_SelectByHash_Ext/10_backends-12 	58162077	        21.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingHash_SelectByHash_Ext/50_backends-12 	52997212	        22.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingHash_SelectByHash_Ext/100_backends-12         	48940239	        23.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingHash_SelectByHash_Ext/500_backends-12         	50627661	        23.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingHash_SelectByHash_Ext/1000_backends-12        	48616198	        24.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkMaglev_SelectByHash-12                            	69941073	        15.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkMaglev_SelectByHash_Ext/10_backends-12            	69426363	        15.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkMaglev_SelectByHash_Ext/50_backends-12            	66039292	        15.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkMaglev_SelectByHash_Ext/100_backends-12           	79446927	        15.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkMaglev_SelectByHash_Ext/500_backends-12           	78790042	        15.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkMaglev_SelectByHash_Ext/1000_backends-12          	78431952	        15.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkRendezvous_Select-12                              	 9666762	       136.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkLeastConn_Release-12                              	19332823	        61.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkP2C_Release-12                                    	40830074	        31.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkWeightedRR_Ext/10_backends-12                     	84407179	        14.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkWeightedRR_Ext/50_backends-12                     	71200137	        15.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkWeightedRR_Ext/100_backends-12                    	73187242	        17.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkWeightedRR_Ext/500_backends-12                    	59850970	        19.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkWeightedRR_Ext/1000_backends-12                   	52745860	        22.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkSmoothWeightedRR_Ext/10_backends-12               	57576048	        21.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkSmoothWeightedRR_Ext/50_backends-12               	13763503	        88.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkSmoothWeightedRR_Ext/100_backends-12              	 8656252	       143.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSmoothWeightedRR_Ext/500_backends-12              	 2150294	       559.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkSmoothWeightedRR_Ext/1000_backends-12             	 1000000	      1102 ns/op	       0 B/op	       0 allocs/op
BenchmarkLeastConn_Ext/10_backends-12                      	58658480	        21.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkLeastConn_Ext/50_backends-12                      	26159805	        45.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkLeastConn_Ext/100_backends-12                     	21945144	        55.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkLeastConn_Ext/500_backends-12                     	17136295	        71.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkLeastConn_Ext/1000_backends-12                    	15239197	        76.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkP2C_Ext/10_backends-12                            	51081435	        23.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkP2C_Ext/50_backends-12                            	51252482	        23.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkP2C_Ext/100_backends-12                           	47546784	        23.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkP2C_Ext/500_backends-12                           	52366302	        23.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkP2C_Ext/1000_backends-12                          	51847050	        23.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkIPHash_Ext/10_backends-12                         	213257659	         5.593 ns/op	       0 B/op	       0 allocs/op
BenchmarkIPHash_Ext/50_backends-12                         	208114378	         5.588 ns/op	       0 B/op	       0 allocs/op
BenchmarkIPHash_Ext/100_backends-12                        	219621175	         5.487 ns/op	       0 B/op	       0 allocs/op
BenchmarkIPHash_Ext/500_backends-12                        	221728096	         5.537 ns/op	       0 B/op	       0 allocs/op
BenchmarkIPHash_Ext/1000_backends-12                       	215100946	         5.516 ns/op	       0 B/op	       0 allocs/op
BenchmarkURIHash_Ext/10_backends-12                        	192584655	         6.365 ns/op	       0 B/op	       0 allocs/op
BenchmarkURIHash_Ext/50_backends-12                        	189374720	         6.406 ns/op	       0 B/op	       0 allocs/op
BenchmarkURIHash_Ext/100_backends-12                       	192525270	         6.188 ns/op	       0 B/op	       0 allocs/op
BenchmarkURIHash_Ext/500_backends-12                       	189632205	         6.233 ns/op	       0 B/op	       0 allocs/op
BenchmarkURIHash_Ext/1000_backends-12                      	190693125	         6.425 ns/op	       0 B/op	       0 allocs/op
BenchmarkLeastTime_Ext/10_backends-12                      	32265349	        37.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkLeastTime_Ext/50_backends-12                      	 7694527	       162.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkLeastTime_Ext/100_backends-12                     	 3568194	       300.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkLeastTime_Ext/500_backends-12                     	  780253	      1608 ns/op	       0 B/op	       0 allocs/op
BenchmarkLeastTime_Ext/1000_backends-12                    	  393286	      3003 ns/op	       0 B/op	       0 allocs/op
BenchmarkARB_Ext/10_backends-12                            	40004932	        29.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkARB_Ext/50_backends-12                            	17550093	        68.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkARB_Ext/100_backends-12                           	15100227	        75.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkARB_Ext/500_backends-12                           	12167966	        96.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkARB_Ext/1000_backends-12                          	11334837	       104.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkLeastTime_Select_UniformWeights-12                	16647890	        64.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkRebuild_RingHash-12                               	    2773	    449881 ns/op	     116 B/op	       1 allocs/op
BenchmarkRebuild_Maglev-12                                 	     376	   3138333 ns/op	  533729 B/op	       4 allocs/op
BenchmarkRebuild_Rendezvous-12                             	  875305	      1342 ns/op	       0 B/op	       0 allocs/op
BenchmarkRebuild_WeightedRR-12                             	 1000000	      1169 ns/op	       0 B/op	       0 allocs/op
BenchmarkRebuild_SmoothWeightedRR-12                       	  990212	      1196 ns/op	       0 B/op	       0 allocs/op
BenchmarkRebuild_LeastConn-12                              	  150405	      7737 ns/op	    2312 B/op	       6 allocs/op
BenchmarkRendezvous-12                                     	 4313894	       282.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkRendezvous_Ext/10_backends-12                     	46063136	        25.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkRendezvous_Ext/50_backends-12                     	14579101	        78.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkRendezvous_Ext/100_backends-12                    	 7758553	       159.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkRendezvous_Ext/500_backends-12                    	 1738363	       719.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkRendezvous_Ext/1000_backends-12                   	  926253	      1353 ns/op	       0 B/op	       0 allocs/op
BenchmarkRendezvous_Weighted_Ext/10_backends-12            	20658097	        60.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkRendezvous_Weighted_Ext/50_backends-12            	 4574337	       263.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkRendezvous_Weighted_Ext/100_backends-12           	 2241408	       562.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkRendezvous_Weighted_Ext/500_backends-12           	  456570	      2673 ns/op	       0 B/op	       0 allocs/op
BenchmarkRendezvous_Weighted_Ext/1000_backends-12          	  212520	      5294 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/shengyanli1982/go-loadbalancer/lb	171.861s
